Model year,Make,Model,Vehicle class,Range 1 (km),Recharge time (h),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2020,BMW,i3s REx (120 Ah),Subcompact,203,7.0,7.7,116,14,10.0,7.0
2020,BMW,i8 Coupe,Subcompact,29,3.0,8.7,488,118,10.0,3.0
2020,BMW,i8 Roadster,Two-seater,29,3.0,8.7,488,118,10.0,3.0
2020,BMW,X3 xDrive30e,Sport utility vehicle: Small,29,3.0,9.9,512,127,9.0,7.0
2020,Chrysler,Pacifica Hybrid,Minivan,51,2.0,8.0,784,74,10.0,7.0
2020,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,60,3.3,5.8,790,48,10.0,7.0
2020,Ford,Fusion Energi,Mid-size,42,2.6,5.6,940,61,10.0,7.0
2020,Honda,Clarity Plug-in Hybrid,Mid-size,77,2.5,5.6,475,36,10.0,8.0
2020,Hyundai,IONIQ Electric Plus,Mid-size,47,2.3,4.5,961,46,10.0,7.0
2020,Kia,Niro Plug-in Hybrid,Station wagon: Small,42,2.25,5.1,853,56,10.0,7.0
2020,Kia,Optima Plug-in Hybrid,Mid-size,45,2.7,5.7,962,60,10.0,7.0
2020,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,34,3.5,10.3,713,130,9.0,7.0
2020,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,35,1.3,9.4,538,109,10.0,5.0
2020,Mercedes-Benz,S 560e,Full-size,31,1.3,10.3,785,127,9.0,3.0
2020,MINI,Cooper SE Countryman ALL4,Mid-size,29,3.0,8.0,451,109,10.0,3.0
2020,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,35,3.5,9.2,463,108,10.0,7.0
2020,Porsche,Panamera 4 E-Hybrid,Full-size,23,3.0,10.5,768,158,8.0,5.0
2020,Porsche,Panamera Turbo S E-Hybrid,Full-size,23,3.0,11.5,695,180,7.0,3.0
2020,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,27,2.0,6.7,747,94,10.0,6.0
2020,Toyota,Prius Prime,Mid-size,40,2.0,4.3,995,49,10.0,7.0
2020,Volvo,S60 T8 AWD,Compact,35,3.0,7.8,781,94,10.0,7.0
2020,Volvo,S90 T8 AWD,Mid-size,34,3.0,7.9,761,99,10.0,7.0
2020,Volvo,V60 T8 AWD,Station wagon: Small,35,3.0,7.8,781,94,10.0,7.0
2020,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,27,3.0,9.1,781,128,9.0,7.0
2020,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,29,3.0,8.8,813,120,10.0,7.0
2021,Audi,A7 Sportback 55 TFSI e quattro,Mid-size,39,2.4,8.1,668,87,10.0,7.0
2021,Audi,A8 L Sedan 60 TFSI e quattro,Full-size,29,2.4,10.3,639,132,8.0,3.0
2021,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,31,2.4,8.8,608,103,10.0,7.0
2021,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,29,3.0,12.7,599,159,7.0,3.0
2021,BMW,330e,Compact,37,3.0,8.4,486,100,10.0,3.0
2021,BMW,330e xDrive,Compact,32,3.0,9.4,436,119,9.0,3.0
2021,BMW,530e,Mid-size,34,3.0,8.9,520,111,9.0,7.0
2021,BMW,530e xDrive,Mid-size,31,3.0,9.5,486,126,9.0,7.0
2021,BMW,745Le xDrive,Full-size,27,3.0,10.8,435,152,8.0,3.0
2021,BMW,i3 REx (120 Ah),Subcompact,203,7.0,7.7,116,14,10.0,7.0
2021,BMW,i3s REx (120 Ah),Subcompact,203,7.0,7.7,116,14,10.0,7.0
2021,BMW,X3 xDrive30e,Sport utility vehicle: Small,29,3.0,9.9,512,127,9.0,7.0
2021,BMW,X5 xDrive45e,Sport utility vehicle: Standard,50,5.0,11.5,600,111,9.0,7.0
2021,Chrysler,Pacifica Hybrid,Minivan,51,2.0,8.0,784,74,10.0,7.0
2021,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,60,3.3,5.8,784,48,10.0,7.0
2021,Honda,Clarity Plug-in Hybrid,Mid-size,77,2.5,5.6,475,36,10.0,8.0
2021,Hyundai,IONIQ Plug-in Hybrid,Mid-size,47,2.3,4.5,954,46,10.0,7.0
2021,Jeep,Wrangler 4xe,Sport utility vehicle: Small,35,2.4,11.7,557,143,8.0,5.0
2021,Karma,"GS-6 (21"" Wheels)",Subcompact,98,6.25,9.1,428,44,10.0,7.0
